,ape,ape_name,ape_len,ape_cat0,ape_cat1,ape_cat2,ape_cat3,ape_cat4,enthic
1473,4623Z,Commerce de gros (commerce interentreprises) d'animaux vivants,5,46,2,3,Z,,1473
1474,5821,Édition de jeux électroniques,4,58,2,1,,,1474
1475,4644,"Commerce de gros de vaisselle, verrerie et produits d'entretien",4,46,4,4,,,1475
1476,80,Enquêtes et sécurité,2,80,,,,,1476
1477,9101Z,Gestion des bibliothèques et des archives,5,91,0,1,Z,,1477
1478,1071A,Fabrication industrielle de pain et de pâtisserie fraîche,5,10,7,1,A,,1478
1479,1412Z,Fabrication de vêtements de travail,5,14,1,2,Z,,1479
1480,5229,Autres services auxiliaires des transports,4,52,2,9,,,1480
1481,2812,Fabrication d'équipements hydrauliques et pneumatiques,4,28,1,2,,,1481
1482,4222,Construction de réseaux électriques et de télécommunications,4,42,2,2,,,1482
1483,6629,Aut. activités auxiliaires d'assurance et de caisses de retraite,4,66,2,9,,,1483
1484,433,Travaux de finition,3,43,3,,,,1484
1485,852,Enseignement primaire,3,85,2,,,,1485
1486,4651,"Comm. de gros d'ordinat., d'éqpts informatiq. périph. & logiciels",4,46,5,1,,,1486
1487,982,Activ. indifférenciées ménages : produc. services (usage propre),3,98,2,,,,1487
1488,1102B,Vinification,5,11,0,2,B,,1488
1489,2751Z,Fabrication d'appareils électroménagers,5,27,5,1,Z,,1489
1490,8230Z,"Organisation de foires, salons professionnels et congrès",5,82,3,0,Z,,1490
1491,7733Z,Location et location-bail machines bureau & matériel informatique,5,77,3,3,Z,,1491
1492,503,Transports fluviaux de passagers,3,50,3,,,,1492
1493,4399,Autres travaux de construction spécialisés n.c.a.,4,43,9,9,,,1493
1494,5821Z,Édition de jeux électroniques,5,58,2,1,Z,,1494
1495,115,Culture du tabac,3,11,5,,,,1495
1496,9420Z,Activités des syndicats de salariés,5,94,2,0,Z,,1496
1497,0230Z,Récolte prod. forestiers non ligneux poussant à l'état sauvage,5,02,3,0,Z,,1497
1498,0811Z,"Extraction pierres ornement. construc. calcaire industriel, gypse",5,08,1,1,Z,,1498
